Freq_Inf,Sim_inf_gnd_77,Freq_68mm,Sim_finite_gnd_68,Freq_82mm,Sim_finite_gnd_82,Freq_None,Meas_no_ground,Freq_PCB,Meas_PCB_ground
885.276381909548,-12.1078053281687,885.276381909548,-13.7795948442638,885.276381909548,-7.90921381569835,855.1672,-14.2816,920.2,-12.3463594450412
885.929648241206,-12.1938426647676,885.929648241206,-13.8664481601465,885.929648241206,-7.86491907072601,855.9514,-14.63218,921.5,-12.0531877621003
886.582914572864,-12.2795690099479,886.582914572864,-13.952943445153,886.582914572864,-7.82109241354303,857.3221,-14.74068,922.8,-11.7692712462097
887.236180904523,-12.3649289618189,887.236180904523,-14.0390278888451,887.236180904523,-7.77772712847616,858.6932,-14.29412,924.1,-11.5591031908103
887.889447236181,-12.4498646527208,887.889447236181,-14.1246464561864,887.889447236181,-7.7348166296469,859.6146,-13.89109,925.4,-11.3456988029975
888.542713567839,-12.5343157271967,888.542713567839,-14.2097418743638,888.542713567839,-7.69235445769016,860.6031,-13.38852,926.7,-11.1125601956664
889.195979899498,-12.6182193300626,889.195979899498,-14.294254628941,889.195979899498,-7.65033427657604,861.6717,-12.91582,928,-10.8415271663931
889.849246231156,-12.7015101058492,889.849246231156,-14.3781229704328,889.849246231156,-7.60874987053091,862.5551,-12.33046,929.3,-10.513647260523
890.502512562814,-12.7841202109419,890.502512562814,-14.4612829324181,890.502512562814,-7.56759514105404,863.8817,-12.24184,930.6,-10.1381550212822
891.155778894472,-12.8659793397845,891.155778894472,-14.5436683623431,891.155778894472,-7.52686410402648,864.7565,-12.2946,931.9,-9.81663720172061
891.809045226131,-12.9470147665431,891.809045226131,-14.6252109661759,891.809045226131,-7.48655088690865,866.1152,-11.9187,933.2,-9.44637473997079
892.462311557789,-13.0271514036355,892.462311557789,-14.7058403680743,892.462311557789,-7.44664972602351,867.6826,-11.95864,934.5,-9.14366206716236
893.115577889447,-13.1063118785209,893.115577889447,-14.7854841862132,893.115577889447,-7.40715496392227,869.3355,-11.94663,935.8,-8.87062833554444
893.768844221106,-13.1844166301153,893.768844221106,-14.8640681258769,893.768844221106,-7.36806104682958,870.9945,-11.88198,937.1,-8.65073149884182
894.422110552764,-13.2613840261359,894.422110552764,-14.9415160908658,894.422110552764,-7.32936252216545,871.5479,-11.54426,938.4,-8.44665435453868
895.075376884422,-13.3371305025904,895.075376884422,-15.0177503141801,895.075376884422,-7.29105403614108,872.6973,-11.58434,939.7,-8.20652540932989
895.72864321608,-13.4115707265054,895.72864321608,-15.0926915088351,895.72864321608,-7.2531303314261,874.2098,-12.13948,941,-8.02156879721525
896.381909547739,-13.4846177828312,896.381909547739,-15.1662590395211,896.381909547739,-7.21558624488469,874.8697,-12.60817,942.3,-7.8504213352928
897.035175879397,-13.5561833862632,897.035175879397,-15.2383711156521,897.035175879397,-7.17841670537796,876.1962,-12.82732,943.6,-7.68282049820377
897.688442211055,-13.6261781184896,897.688442211055,-15.3089450061462,897.688442211055,-7.1416167316307,877.0247,-13.30767,944.9,-7.51991065897949
